"","ISO3CD","ROMNAM","MAPLAB","Name_En","O_Name_En","M49","ISO_3","Country","Name_En_stefania","Official_Name_En_Stefania"
"180","MAF","Saint Martin","Saint Martin (Fr.)","Saint-Martin","Saint-Martin (French Part)",663,"FRA","France","Saint Martin (French part)","Saint-Martin (French part)"
"181","LTU","Lithuania","Lithuania","Lithuania","the Republic of Lithuania",440,"LTU","Lithuania","Lithuania","the Republic of Lithuania"
"182","IRN","Iran (Islamic Republic of)","Iran (Islamic Republic of)","Iran (Islamic Rep. of)","the Islamic Republic of Iran",364,"IRN","Iran (Islamic Rep. of)","Iran (Islamic Republic of)","the Islamic Republic of Iran"
"183","VUT","Vanuatu","Vanuatu","Vanuatu","the Republic of Vanuatu",548,"VUT","Vanuatu","Vanuatu","the Republic of Vanuatu"
"184","PRT","Azores Islands","Azores Islands (Port.)","Portugal","the Portuguese Republic",620,"PRT","Portugal","Portugal","the Portuguese Republic"
"185","GIB","Gibraltar","Gibraltar *","Gibraltar","Gibraltar",292,"GBR","United Kingdom","Gibraltar","Gibraltar"
"186","NIU","Niue","Niue","Niue","the Republic of Niue",570,"NZL","New Zealand","Niue","Niue"
"187","SVK","Slovakia","Slovakia","Slovakia","the Slovak Republic",703,"SVK","Slovakia","Slovakia","the Slovak Republic"
"188","TON","Tonga","Tonga","Tonga","the Kingdom of Tonga",776,"TON","Tonga","Tonga","the Kingdom of Tonga"
"189","xAB","Abyei","Abyei","","",NA,"xAB","",NA,NA
"190","GRC","Greece","Greece","Greece","the Hellenic Republic",300,"GRC","Greece","Greece","the Hellenic Republic"
"191","VAT","Holy See","Holy See","Holy See","Holy See",336,"VAT","Holy See","Holy See","the Holy See"
"192","TZA","United Republic of Tanzania","United Republic of Tanzania","Tanzania, United Rep. of","the United Republic of Tanzania",834,"TZA","Tanzania, United Rep. of","United Republic of Tanzania","the United Republic of Tanzania"
"193","BLM","Saint Barthelemy","Saint BarthÔøΩlemy (Fr.)","Saint BarthÔøΩlemy","Saint BarthÔøΩlemy",652,"FRA","France","Saint Barthélemy","Saint Barthélemy"
"194","POL","Poland","Poland","Poland","the Republic of Poland",616,"POL","Poland","Poland","the Republic of Poland"
"195","VEN","Bird Island","","Venezuela, Boliv Rep of","the Bolivarian Republic of Venezuela",862,"VEN","Venezuela, Boliv Rep of","Venezuela (Bolivarian Republic of)","the Bolivarian Republic of Venezuela"
"196","MLI","Mali","Mali","Mali","the Republic of Mali",466,"MLI","Mali","Mali","the Republic of Mali"
"197","COK","Cook Islands","Cook Islands","Cook Islands","the Cook Islands",184,"NZL","New Zealand","Cook Islands","the Cook Islands"
"198","TWN","Taiwan","Taiwan","Taiwan Province of China","Taiwan Province of China",158,"CHN","China","Taiwan Province of China","Taiwan Province of China"
"199","VCT","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Saint Vincent/Grenadines","Saint Vincent and the Grenadines",670,"VCT","Saint Vincent/Grenadines","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines"
"200","BTN","Bhutan","Bhutan","Bhutan","the Kingdom of Bhutan",64,"BTN","Bhutan","Bhutan","the Kingdom of Bhutan"
"201","VGB","British Virgin Islands","British Virgin Islands *","British Virgin Islands","British Virgin Islands",92,"GBR","United Kingdom","British Virgin Islands","the British Virgin Islands"
"202","SEN","Senegal","Senegal","Senegal","the Republic of Senegal",686,"SEN","Senegal","Senegal","the Republic of Senegal"
