"","OCEAN","ID_mrgd","nm_mrgd","continent_map","fa_ffcl"
"86",NA,8411,"British Virgin Islands Exclusive Economic Zone","Americas","the British Virgin Islands"
"87",NA,8362,"Cape Verdean Exclusive Economic Zone","Africa","the Republic of Cabo Verde"
"88",NA,8364,"Spanish Exclusive Economic Zone (Canary Islands)","Europe","the Kingdom of Spain"
"89",NA,8407,"Cayman Islands Exclusive Economic Zone","Americas","the Cayman Islands"
"90",NA,8401,"Clipperton Exclusive Economic Zone","Oceania","French Polynesia"
"91",NA,8423,"Panamanian Exclusive Economic Zone","Americas","the Republic of Panama"
"92",NA,8424,"Costa Rican Exclusive Economic Zone","Americas","the Republic of Costa Rica"
"93",NA,26517,"Curaçaoan Exclusive Economic Zone","Americas","Curaçao"
"94",NA,8417,"Dominican Exclusive Economic Zone","Americas","the Commonwealth of Dominica"
"95",NA,8409,"Dominican Republic Exclusive Economic Zone","Americas","the Dominican Republic"
"96",NA,8430,"Guatemalan Exclusive Economic Zone","Americas","the Republic of Guatemala"
"97",NA,8435,"Faeroe Exclusive Economic Zone","Europe","the Faroe Islands"
"98",NA,8370,"Gambian Exclusive Economic Zone","Africa","the Republic of the Gambia"
"99",NA,8365,"Overlapping claim Gibraltarian Exclusive Economic Zone","Europe",NA
"100",NA,8419,"Grenadian Exclusive Economic Zone","Americas","Grenada"
"101",NA,33177,"Guadeloupean Exclusive Economic Zone","Americas","Guadeloupe"
"102",NA,8390,"Sierra Leonian Exclusive Economic Zone","Africa","the Republic of Sierra Leone"
"103",NA,5680,"Icelandic Exclusive Economic Zone","Europe","Iceland"
"104",NA,8459,"Jamaican Exclusive Economic Zone","Americas","Jamaica"
"105",NA,8363,"Portuguese Exclusive Economic Zone (Madeira)","Europe","the Portuguese Republic"
"106",NA,8369,"Mauritanian Exclusive Economic Zone","Africa","the Islamic Republic of Mauritania"
"107",NA,8415,"Montserrat Exclusive Economic Zone","Americas","Montserrat"
"108",NA,48951,"Overlapping claim Navassa Island: USA / Haiti / Jamaica","Americas",NA
"109",NA,8443,"Palmyra Atoll Exclusive Economic Zone","Oceania","the United States Minor Outlying Islands"
"110",NA,33179,"Puerto Rican Exclusive Economic Zone","Americas","the Commonwealth of Puerto Rico"
"111",NA,26518,"Saba Exclusive Economic Zone","Americas","Bonaire, Sint Eustatius and Saba"
"112",NA,48952,"Saint-Barthélemy Exclusive Economic Zone","Americas","Saint-Barthélemy"
"113",NA,26526,"Sint-Eustatius Exclusive Economic Zone","Americas","Bonaire, Sint Eustatius and Saba"
"114",NA,8413,"Saint Kitts and Nevis Exclusive Economic Zone","Americas","Saint Kitts and Nevis"
"115",NA,8416,"Saint Lucia Exclusive Economic Zone","Americas","Saint Lucia"
"116",NA,8495,"Saint-Martin Exclusive Economic Zone","Americas","Saint-Martin (French part)"
"117",NA,8494,"Saint-Pierre and Miquelon Exclusive Economic Zone","Americas","Saint Pierre and Miquelon"
"118",NA,8421,"Saint Vincent and the Grenadines Exclusive Economic Zone","Americas","Saint Vincent and the Grenadines"
"119",NA,21803,"Sint-Maarten Exclusive Economic Zone","Americas","Sint Maarten (Dutch part)"
"120",NA,8420,"Trinidad and Tobago Exclusive Economic Zone","Americas","the Republic of Trinidad and Tobago"
"121",NA,8405,"Turks and Caicos Exclusive Economic Zone","Americas","the Turks and Caicos Islands"
"122",NA,33180,"Virgin Islander Exclusive Economic Zone","Americas","the United States Virgin Islands"
"123",NA,5688,"Portuguese Exclusive Economic Zone","Europe","the Portuguese Republic"
"124",NA,8428,"El Salvador Exclusive Economic Zone","Americas","the Republic of El Salvador"
"125",NA,8457,"Belizean Exclusive Economic Zone","Americas","Belize"
"126",NA,8406,"Cuban Exclusive Economic Zone","Americas","the Republic of Cuba"
"127",NA,8408,"Haitian Exclusive Economic Zone","Americas","the Republic of Haiti"
"128",NA,33178,"Martinican Exclusive Economic Zone","Americas","Martinique"
"129",NA,48964,"Joint regime area Senegal / Guinea Bissau","Africa",NA
"130",NA,48965,"Overlapping claim: Venezuela / Aruba / Dominican Republic","Americas",NA
"131",NA,48966,"Joint regime area Spain / France","Europe",NA
"132",NA,48967,"Joint regime area United Kingdom / Denmark (Faeroe Islands)","Europe",NA
"133",NA,48943,"Overlapping claim: Canada / USA","Americas",NA
"134",NA,48968,"Joint regime area Costa Rica / Ecuador (Galapagos)","Americas",NA
"135",NA,8425,"Nicaraguan Exclusive Economic Zone","Americas","the Republic of Nicaragua"
"136",NA,8460,"Guyanese Exclusive Economic Zone","Americas","the Co-operative Republic of Guyana"
"137",NA,48969,"Joint regime area Guyana / Barbados","Americas",NA
"138",NA,48970,"Joint regime area Colombia / Dominican Republic","Americas",NA
"139",NA,48971,"Overlapping claim: Venezuela / Colombia / Dominican Republic","Americas",NA
"140",NA,5681,"Irish Exclusive Economic Zone","Europe","Ireland"
"141",NA,21788,"Guernsey Exclusive Economic Zone","Europe","the Bailiwick of Guernsey"
"142",NA,21789,"Jersey Exclusive Economic Zone","Europe","the Bailiwick of Jersey"
"143",NA,8371,"Senegalese Exclusive Economic Zone","Africa","the Republic of Senegal"
"144",NA,8471,"Guinea Bissau Exclusive Economic Zone","Africa","the Republic of Guinea-Bissau"
"145",NA,8472,"Guinean Exclusive Economic Zone","Africa","the Republic of Guinea"
"146",NA,8473,"Ivory Coast Exclusive Economic Zone","Africa","the Republic of Côte d'Ivoire"
"147",NA,33185,"Overlapping claim: Trinidad and Tobago / Venezuela / Guyana","Americas",NA
"148",NA,8391,"Liberian Exclusive Economic Zone","Africa","the Republic of Liberia"
"149",NA,21792,"Joint regime area Colombia / Jamaica","Americas",NA
"150",NA,48972,"Joint regime area Honduras / Cayman Islands","Americas",NA
"151",NA,48973,"Joint regime area Iceland / Denmark (Faeroe Islands)","Europe",NA
