ID,SHORT NAME,LIST NAME,FULL NAME,ADJECTIVE/INHABITANT,CAPITAL_CITY,CURRENCY NAME,CURRENCY SYMBOL,NOTES,ENGLISH_LIST NAME
15393,Congo (the),Congo,the Republic of the Congo,Congolese,Brazzaville,CFA franc (BEAC),CFAF,CFA: Coopération Financière en Afrique Centrale (Central African Financial Cooperation). BEAC: Banque des États de l’Afrique Centrale (Bank of Central African States).,Congo
15394,Cook Islands (the),Cook Islands,the Cook Islands,of the Cook Islands; Cook Islander,Avarua,New Zealand dollar,$NZ,,Cook Islands
79173,Coral Sea Islands Territory (the),Coral Sea Islands Territory,the Coral Sea Islands Territory,,,,,,Coral Sea Islands Territory
15395,Costa Rica,Costa Rica,the Republic of Costa Rica,Costa Rican,San José,Costa Rican colón,_,,Costa Rica
25066,Croatia,Croatia,the Republic of Croatia,Croatian,Zagreb,euro,EUR; €,,Croatia
15397,Cuba,Cuba,the Republic of Cuba,Cuban,Havana,Cuban peso,$,,Cuba
158871,Curaçao,Curaçao,Curaçao,of Curaçao,,Netherlands Antillean guilder,Naf,,Curaçao
15398,Cyprus,Cyprus,the Republic of Cyprus,Cypriot,Nicosia,euro,EUR; €,,Cyprus
32174,Czechia,Czechia,the Czech Republic,Czech,Prague,Czech koruna,CZK,New short name from 17 May 2016.,Czechia
15396,Côte d'Ivoire,Côte d'Ivoire,the Republic of Côte d'Ivoire,Ivorian,Yamoussoukro,CFA franc (BCEAO),CFAF,CFA: Communauté Financière Africaine (African Financial Community). BCEAO: Banque centrale des États de l'Afrique de l'Ouest (Central Bank of West African States).,Côte d'Ivoire
15399,Democratic People's Republic of Korea (the),Democratic People's Republic of Korea,the Democratic People's Republic of Korea,of the Democratic People's Republic of Korea,Pyongyang,monetary unit: won,_,,Democratic People's Republic of Korea
15513,Democratic Republic of the Congo (the),Democratic Republic of the Congo,the Democratic Republic of the Congo,of the Democratic Republic of the Congo; Congolese,Kinshasa,Congolese franc,CGF,,Democratic Republic of the Congo
15400,Denmark,Denmark,the Kingdom of Denmark,Danish; of Denmark; a Dane,Copenhagen,Danish krone,DKr,,Denmark
79174,Diego Garcia,Diego Garcia,Diego Garcia,,,,,,Diego Garcia
15401,Djibouti,Djibouti,the Republic of Djibouti,(of) Djibouti; a Djiboutian,Djibouti,Djibouti franc,DF,,Djibouti
15402,Dominica,Dominica,the Commonwealth of Dominica,of Dominica,Roseau,East Caribbean dollar,EC$,,Dominica
15403,Dominican Republic (the),Dominican Republic,the Dominican Republic,Dominican,Santo Domingo,Dominican peso,RD$,,Dominican Republic
15404,Ecuador,Ecuador,the Republic of Ecuador,Ecuadorian,Quito,United States dollar,$; US$,,Ecuador
15405,Egypt,Egypt,the Arab Republic of Egypt,Egyptian,Cairo,Egyptian pound,LE,,Egypt
15406,El Salvador,El Salvador,the Republic of El Salvador,Salvadorean; Salvadoran,San Salvador,El Salvador colón,¢,Both the United States dollar and El Salvador colón are legal in the country.,El Salvador
15407,Equatorial Guinea,Equatorial Guinea,the Republic of Equatorial Guinea,of Equatorial Guinea,Malabo,CFA franc (BEAC),CFAF,CFA: Coopération Financière en Afrique Centrale (Central African Financial Cooperation). BEAC: Banque des États de l’Afrique Centrale (Bank of Central African States).,Equatorial Guinea
2810,Eritrea,Eritrea,the State of Eritrea,Eritrean,Asmara,nakfa,ERN,,Eritrea
15533,Estonia,Estonia,the Republic of Estonia,Estonian,Tallinn,euro,EUR; €,,Estonia
15492,Eswatini,Eswatini,the Kingdom of Eswatini,Swazi,Mbabane,lilangeni,E,"Effective 19 April 2018, the country full name was changed from Kingdom of Swaziland (short name: Swaziland) to Kingdom of Eswatini (short name: Eswatini).",Eswatini
15408,Ethiopia,Ethiopia,the Federal Democratic Republic of Ethiopia,Ethiopian,Addis Ababa,Ethiopian birr,Br,,Ethiopia
79176,Europa Island,Europa Island,Europa Island,,,,,,Europa Island
50484,European Union (the),European Union,the European Union,of the European Union,,euro,EUR; €,"In the context of FAO membership, FAO Conference, FAO Council, etc., use the following: European Union (Member Organization).
",European Union
24504,Falkland Islands (Malvinas) (the),Falkland Islands (Malvinas),the Falkland Islands (Malvinas),of the Falkland Islands (Malvinas),Stanley,Falkland Islands pound,£,A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas).,Falkland Islands (Malvinas)
2993,Faroe Islands (the),Faroe Islands,the Faroe Islands,Faroese,Thorshavn,Danish krone,DKr,Associate Member.,Faroe Islands
15409,Fiji,Fiji,the Republic of Fiji,of Fiji; Fiji Islander,Suva,Fiji dollar,F$,,Fiji
15410,Finland,Finland,the Republic of Finland,Finnish; a Finn,Helsinki,euro,EUR; €,,Finland
15411,France,France,the French Republic,French; Frenchman; Frenchwoman,Paris,euro,EUR; €,,France
19016,French Guiana,French Guiana,French Guiana,of French Guiana,Cayenne,euro,EUR; €,,French Guiana
19017,French Polynesia,French Polynesia,French Polynesia,of French Polynesia,Papeete,CFP franc,CFPF,CFP: Colonies françaises du Pacifique (French colonies of the Pacific).,French Polynesia
19019,French Southern Territories (the),French Southern Territories,the French Southern Territories,of the French Southern Territories,,euro,EUR; €,"The French Southern and Antarctic Territories (FQ, ATF, --) are now part of Antarctica and of the French Southern Territories.",French Southern Territories
15412,Gabon,Gabon,the Gabonese Republic,Gabonese,Libreville,CFA franc (BEAC),CFAF,CFA: Coopération Financière en Afrique Centrale (Central African Financial Cooperation). BEAC: Banque des États de l’Afrique Centrale (Bank of Central African States).,Gabon
15413,Gambia (the),Gambia,the Republic of the Gambia,Gambian,Banjul,dalasi,D,"The short name includes the article “the” before Gambia, but alphabetically is listed under G.",Gambia
79214,Gaza Strip (the),Gaza Strip,the Gaza Strip,,,,,"For statistical purposes please use ""Palestine"". Kindly note the term ""Gaza Strip"" may only be used when referring to the specific geographical area within the territory of Palestine. Also the short form ""Gaza"" is used.",Gaza Strip
29137,Georgia,Georgia,Georgia,Georgian,Tbilisi,lari,Iari,,Georgia
15414,Germany,Germany,the Federal Republic of Germany,German,Berlin,euro,EUR; €,,Germany
15415,Ghana,Ghana,the Republic of Ghana,Ghanaian,Accra,Ghanaian cedi,¢,,Ghana
7671,Gibraltar,Gibraltar,Gibraltar,Gibraltarian; of Gibraltar,Gibraltar,Gibraltar pound,£,,Gibraltar
79177,Glorioso Islands (the),Glorioso Islands,the Glorioso Islands,,,,,,Glorioso Islands
79215,Golan Heights (the),Golan Heights,the Golan Heights,,,,,,Golan Heights
79218,Greater Antilles (the),Greater Antilles,the Greater Antilles,,,,,,Greater Antilles
15416,Greece,Greece,the Hellenic Republic,Greek,Athens,euro,EUR; €,,Greece
79216,Greenland,Greenland,Greenland,; Greenlander,Nuuk,Danish krone,DKr,,Greenland
15417,Grenada,Grenada,Grenada,Grenadian,Saint George's,East Caribbean dollar,EC$,,Grenada
19020,Guadeloupe,Guadeloupe,Guadeloupe,of Guadeloupe,Basse-Terre,euro,EUR; €,,Guadeloupe
7927,Guam,Guam,Guam,Guamanian,Agaña,United States dollar,$; US$,,Guam
15418,Guatemala,Guatemala,the Republic of Guatemala,Guatemalan,Guatemala City,quetzal,Q,,Guatemala
79217,Guernsey,Guernsey,the Bailiwick of Guernsey,,Saint Peter Port,pound sterling,£; £ stg.,,Guernsey
15419,Guinea,Guinea,the Republic of Guinea,Guinean,Conakry,Guinean franc,GF,,Guinea
15420,Guinea-Bissau,Guinea-Bissau,the Republic of Guinea-Bissau,of Guinea-Bissau,Bissau,CFA franc (BCEAO),CFAF,CFA: Communauté Financière Africaine (African Financial Community). BCEAO: Banque centrale des États de l'Afrique de l'Ouest (Central Bank of West African States).,Guinea-Bissau
15421,Guyana,Guyana,the Co-operative Republic of Guyana,Guyanese,Georgetown,Guyana dollar,G$,,Guyana
15422,Haiti,Haiti,the Republic of Haiti,Haitian,Port-au-Prince,gourde,G,,Haiti
