ISO3CD,country,reference,mean00_ssp126,mean50_ssp126,mean00_ssp585,mean50_ssp585,rel_change_mean50_ssp126,rel_change_mean50_ssp585,rel_change_mean00_ssp126,rel_change_mean00_ssp585
AUT,Austria,8.4103987,8.67428,9.01039,10.95895,9.78095,7.133922200382714,16.29591353380192,3.137559935178811,30.302383881040022
AZE,Azerbaijan,8.9973761,8.05188,10.435179999999999,7.40506,10.16934,15.980257844284166,13.02561865786626,-10.508575939156302,-17.697560736624098
BDI,Burundi,8.5623305,10.46256,13.6659,8.4178,12.82491,59.60491130306171,49.78293584906585,22.19290063610602,-1.6879808598838846
BEL,Belgium,10.8915826,11.75505,11.9888,14.228,12.74189,10.073994205396742,16.98841635741715,7.927841450699747,30.632989920124192
BEN,Benin,9.0976304,14.820879999999999,15.5934,14.445,15.49492,71.40067593864883,70.31819626350176,62.909234035271425,58.77760872765286
BES,Bonaire; Sint Eustatius and Saba,0.019755099999999998,0.0322706,0.0294316,0.0322706,0.0294316,48.98228811800498,48.98228811800498,63.35326067698978,63.35326067698978
BFA,Burkina Faso,15.4251158,26.74039,27.24203,23.24898,26.10613,76.60826896353024,69.24430479802297,73.35617020132841,50.721591341311026
BGD,Bangladesh,146.7979097,151.65502,192.20224000000002,129.30895,184.22587,30.929820726187103,25.496248806600004,3.3087053554959556,-11.91362992548114
BGR,Bulgaria,7.4565662,2.87969,5.313549999999999,1.97422,4.86511,-28.739987583024483,-34.7540158632267,-61.38048100478206,-73.52373804446341
BHR,Bahrain,1.1653285,2.18366,2.01077,2.8138,2.2822500000000003,72.54962870984447,95.84606400684446,87.38578864243003,141.45981154670122
BHS,Bahamas,0.3502434,0.50551,0.4798,0.6154,0.5178499999999999,36.99044721470841,47.85432073809241,44.33105663090298,75.7063801916039
BIH,Bosnia and Herzegovina,3.6780078,0.66868,2.3414,0.34034,1.87861,-36.340537396358975,-48.92316432825401,-81.81950565738332,-90.74662103761716
BLM,Saint Barthélemy,0.009148,0.010280000000000001,0.0107077,0.010280000000000001,0.0107077,17.0496283340621,17.0496283340621,12.374289462177538,12.374289462177538
BLR,Belarus,9.455367599999999,7.2148699999999995,8.62887,7.96687,8.817219999999999,-8.741041437669752,-6.749051195005892,-23.6955102623403,-15.742355696461752
BLZ,Belize,0.3185419,0.43031,0.46618000000000004,0.39335,0.45505,46.34809423815205,42.85404839991223,35.08740922308809,23.48454002440495
BMU,Bermuda,0.0653861,0.0381702,0.0552436,0.0381702,0.0552436,-15.511706616543892,-15.511706616543892,-41.623372551658534,-41.623372551658534
BOL,Bolivia (Plurinational State of),9.9680552,10.90542,13.259,9.59298,12.79954,33.0149134808162,28.405589086224165,9.403687892900104,-3.762772100218702
BRA,Brazil,194.6656891,174.97053,225.38366,175.20949000000002,225.41977,15.77985881436976,15.798408565056157,-10.11742705715468,-9.994673016057451
BRB,Barbados,0.2811484,0.17103,0.24936,0.15666,0.23251,-11.30662667829517,-17.29990282711907,-39.16735787932637,-44.27853759793761
BRN,Brunei Darussalam,0.3869171,0.53046,0.53885,0.57045,0.55951,39.26755886467671,44.607203972117006,37.0991357063309,47.43468303675387
BTN,Bhutan,0.683063,0.8098,0.94817,0.792,0.94673,38.81150054972967,38.60068544189921,18.554218278548245,15.948309306755023
BVT,Bouvet Island,1e-6,1e-6,1e-6,1e-6,1e-6,0,0,0,0
BWA,Botswana,1.957281,2.6313500000000003,2.95815,2.78807,3.01513,51.1356826127674,54.04686399142484,34.43905090786659,42.44607698128167
CAF,Central African Republic,4.3119381,3.6851,5.39616,2.89134,5.02006,25.144653630347808,16.422357732825528,-14.5372703750084,-32.94569789858532
CAN,Canada,33.9285459,46.15844,41.89999,60.61144,46.54293,23.494800288508678,37.17926532183035,36.046030784950304,78.64437862631772
CCK,Cocos (Keeling) Islands,6.03e-4,6e-4,6e-4,6e-4,6e-4,-0.49751243781095733,-0.49751243781095733,-0.49751243781095733,-0.49751243781095733
CHE,Switzerland,7.775703999999999,9.57988,9.46771,12.27915,10.44008,21.760164738781224,34.26539899152541,23.20273508353713,57.91689086930265
CHL,Chile,16.9688814,16.36346,19.52114,16.24212,19.47407,15.040818188522422,14.763428071340048,-3.5678332927708536,-4.282906945180257
