#
# national population in 10^6 people
# (commas in the country name have been replaced by ;)
#
iso,country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ATG,Antigua and Barbuda,0.045515,0.046541,0.047385000000000004,0.048135000000000004,0.048875999999999996,0.049648000000000005,0.050464,0.05136,0.05227999999999999,0.053214,0.054132000000000007,0.055005,0.055849,0.056701,0.057641,0.058699,0.059912,0.061239999999999996,0.062523,0.063553,0.064184,0.064354,0.064134,0.063649,0.063108,0.062671,0.062353,0.062162,0.062038,0.061948,0.061861,0.061789,0.061779999999999995,0.061778999999999994,0.061784000000000006,0.061785,0.061753999999999996,0.061713,0.06175800000000001,0.06200700000000001,0.062533,0.063363,0.064459,0.065777,0.067201,0.068672,0.070176,0.071707,0.073219,0.074674,0.076007,0.077212,0.078298,0.079311,0.080347,0.081462,0.082715,0.08402899999999999,0.08539400000000001,0.086743,0.08803,0.08925,0.090407,0.09151000000000001,0.092562
AUS,Australia,8.177348,8.398224,8.595064,8.782177,8.970121,9.1657,9.371781,9.587458999999999,9.808595,10.028799000000001,10.24207,10.445836,10.643419999999999,10.845179,11.065419,11.313186,11.593402000000001,11.899644,12.215703999999999,12.518931,12.79303,13.03313,13.244163,13.43179,13.605573999999999,13.77329,13.935722,14.092545000000001,14.249403,14.413001999999999,14.5884,14.777241,14.979203,15.194644,15.423156,15.663672,15.91758,16.183159,16.452258,16.713989,16.9606,17.189235,17.402179,17.603210999999998,17.798526000000003,17.993083,18.189273999999997,18.387204999999998,18.587027,18.788187,18.991433999999998,19.194676,19.401366,19.624163,19.879654000000002,20.178542999999998,20.5263,20.916339,21.332293,21.750852,22.154687,22.538002,22.903951,23.254912,23.596426
AUT,Austria,6.9364419999999996,6.9313460000000005,6.9311940000000005,6.935149000000001,6.942617,6.953403999999999,6.967624000000001,6.985724,7.008414999999999,7.036554,7.070773,7.111139,7.156836,7.205991,7.2560910000000005,7.305153999999999,7.352239,7.397168,7.4395809999999996,7.47934,7.516238,7.550339,7.581119999999999,7.607067,7.626289999999999,7.637686,7.640755,7.636572999999999,7.627762,7.617883,7.60975,7.604512,7.602177,7.6031,7.607296000000001,7.614874,7.625395,7.639351,7.658856,7.686564,7.723953999999999,7.772697999999999,7.830938000000001,7.892089,7.947214999999999,7.990113000000001,8.017852,8.032873,8.041053999999999,8.051116,8.069276,8.097755000000001,8.134403,8.175855,8.21681,8.253656,8.285345,8.313731,8.341525,8.372658,8.409945,8.453501,8.50223,8.556191,8.615205
AZE,Azerbaijan,2.927926,2.987264,3.060014,3.1428130000000003,3.233167,3.3293730000000004,3.4306660000000004,3.5370220000000003,3.649189,3.768336,3.895398,4.030325,4.171428,4.3151269999999995,4.456691,4.592601,4.721528,4.843872,4.960237,5.07193,5.180032,5.284518,5.3852660000000006,5.4830879999999995,5.579071,5.674129,5.768730000000001,5.863137999999999,5.957927,6.053635,6.150735,6.249312000000001,6.3495550000000005,6.4520669999999996,6.557581,6.666447,6.778631,6.893486,7.010027,7.126877,7.242758,7.357945,7.4719240000000005,7.581753999999999,7.683704,7.775417999999999,7.855558,7.925667999999999,7.989903,8.054126,8.122743,8.197295,8.277064999999999,8.361433,8.448938,8.53861,8.630153,8.724236999999999,8.821869,8.924383,9.032465,9.146277,9.264683999999999,9.385467,9.505616
BDI,Burundi,2.308927,2.360442,2.406034,2.449089,2.4921919999999997,2.53715,2.5849130000000002,2.635622,2.688751,2.743202,2.797925,2.8524380000000003,2.90732,2.964416,3.0262919999999998,3.094378,3.170496,3.253215,3.33693,3.413909,3.4790699999999997,3.53,3.5696550000000005,3.60512,3.646428,3.700879,3.7708699999999995,3.854446,3.949264,4.051239,4.157296,4.26652,4.379727,4.497544,4.621096,4.750832,4.8867449999999995,5.027143,5.168703,5.307069,5.438959,5.564923,5.685569,5.7980540000000005,5.898964,5.987044,6.06011,6.12213,6.185564,6.267132,6.378871,6.525546,6.704117999999999,6.909161,7.1316880000000005,7.364857000000001,7.60785,7.862226,8.126104,8.397661,8.675606,8.958406,9.245992,9.540302,9.844301
BEL,Belgium,8.637521000000001,8.680176,8.727988,8.779266999999999,8.832697,8.887275,8.942408,8.997845,9.05364,9.110066999999999,9.167361,9.225414,9.283545,9.340419,9.3943,9.443947999999999,9.488759,9.529046000000001,9.565591,9.599651,9.632178999999999,9.663323,9.692845,9.72075,9.747023,9.771582,9.794771,9.816692999999999,9.836812,9.854372,9.868999,9.880594,9.889819000000001,9.897877000000001,9.906369999999999,9.916577,9.928539,9.942281,9.959011,9.980175,10.006545,10.03945,10.078097999999999,10.118684,10.155909,10.186304,10.208264999999999,10.223785000000001,10.237298,10.255161,10.282046000000001,10.319026,10.364879,10.419029,10.480118,10.546885000000001,10.619484,10.697576,10.778764,10.859933999999999,10.938735000000001,11.013860000000001,11.085355,11.154008000000001,11.221225
BEN,Benin,2.2552220000000003,2.258475,2.264862,2.274484,2.2873759999999996,2.3035919999999996,2.323052,2.345712,2.371455,2.400129,2.4316169999999997,2.465865,2.502897,2.542864,2.585961,2.632361,2.682159,2.7353080000000003,2.791588,2.850657,2.912338,2.976575,3.0435630000000002,3.113681,3.1874130000000003,3.265167,3.347169,3.433445,3.523933,3.618519,3.717161,3.820126,3.927717,4.0399400000000005,4.1568190000000005,4.278502,4.404504,4.535262,4.672844,4.8200199999999995,4.978489,5.149496,5.331805,5.521761,5.714215,5.905551999999999,6.094272,6.281644,6.470275,6.664102000000001,6.865946000000001,7.076728,7.2954,7.520556,7.7500029999999995,7.982222999999999,8.216892999999999,8.45479,8.696914999999999,8.944713,9.199254,9.460828999999999,9.729254,10.004594,10.286839
BES,Bonaire; Sint Eustatius and Saba,0.007129000000000001,0.0072900000000000005,0.007425,0.0075239999999999994,0.00761,0.007668,0.007722,0.007781999999999999,0.007855,0.007949,0.008078,0.008231,0.008429,0.008647,0.008888,0.009126,0.009389,0.009637999999999999,0.009909999999999999,0.010148,0.010359,0.010542000000000001,0.010716,0.010841,0.010956,0.011026000000000001,0.011076,0.011094,0.011105,0.011134999999999999,0.011209,0.011318,0.011473,0.011646,0.011843000000000001,0.012024,0.012185,0.012332,0.012485,0.012709,0.013009999999999999,0.013430000000000001,0.013936000000000002,0.014450999999999999,0.014858000000000001,0.015101,0.015163,0.015082,0.014889,0.014632,0.014387,0.014131,0.013881999999999999,0.013755000000000002,0.013886,0.014399,0.015338,0.016645,0.018163,0.019648,0.020941,0.021998,0.02284,0.023512,0.024066999999999998
BFA,Burkina Faso,4.284455,4.324493,4.3671370000000005,4.413202,4.463165,4.517155000000001,4.574945,4.635951,4.699345,4.764085,4.829289,4.89458,4.960328,5.027811,5.098891,5.174874,5.25636,5.343025,5.4340459999999995,5.5281720000000005,5.624592,5.723378,5.825174,5.930493,6.040045,6.154554,6.274032,6.398933,6.530819999999999,6.671656,6.822837,6.985166,7.158258999999999,7.340910000000001,7.531239,7.727908,7.930689,8.140080000000001,8.356313,8.579818,8.811033,9.050086,9.29711,9.552472999999999,9.816583999999999,10.08988,10.372734,10.665552,10.968722,11.282696000000001,11.607951,11.944589,12.293097,12.654624,13.030576,13.421935000000001,13.829173,14.252029,14.689725,15.141098000000001,15.605210999999999,16.081915,16.571251999999998,17.072791,17.586029
BGD,Bangladesh,37.894671,38.706399,39.489861,40.292411,41.14983,42.086304999999996,43.113921999999995,44.233216999999996,45.434542,46.700569,48.013505,49.362834,50.75215,52.202008,53.741721,55.385114,57.157651,59.03425,60.918452,62.679765,64.232486,65.531635,66.62570600000001,67.637541,68.742222,70.06631,71.65238599999999,73.463593,75.45003299999999,77.52904000000001,79.639498,81.767516,83.932132,86.14249000000001,88.416529,90.76418000000001,93.187593,95.671159,98.18635,100.69549599999999,103.17195699999999,105.599125,107.98370800000001,110.350641,112.737684,115.16993300000001,117.649927,120.16057099999999,122.682818,125.189655,127.65786200000001,130.088709,132.478077,134.791598,136.98642900000002,139.035505,140.921154,142.660381,144.304164,145.924795,147.575433,149.273134,151.00573300000002,152.76141299999998,154.51738500000002
