x,y,cell_area,ID_mrgd,name_merge
-152.5,88.5,325032864,165,Central Arctic
-151.5,88.5,325030688,165,Central Arctic
-150.5,88.5,325026144,165,Central Arctic
-149.5,88.5,325020768,165,Central Arctic
-148.5,88.5,325013728,165,Central Arctic
-147.5,88.5,325005952,165,Central Arctic
-146.5,88.5,324997152,165,Central Arctic
-145.5,88.5,324988096,165,Central Arctic
-144.5,88.5,324978048,165,Central Arctic
-143.5,88.5,324967712,165,Central Arctic
-142.5,88.5,324956544,165,Central Arctic
-141.5,88.5,324944352,165,Central Arctic
-140.5,88.5,324931552,165,Central Arctic
-139.5,88.5,324918016,165,Central Arctic
-138.5,88.5,324904160,165,Central Arctic
-137.5,88.5,324892768,165,Central Arctic
-136.5,88.5,324881952,165,Central Arctic
-135.5,88.5,324870976,165,Central Arctic
-134.5,88.5,324859904,165,Central Arctic
-133.5,88.5,324848736,165,Central Arctic
-132.5,88.5,324837312,165,Central Arctic
-131.5,88.5,324823808,165,Central Arctic
-130.5,88.5,324810400,165,Central Arctic
-129.5,88.5,324797440,165,Central Arctic
-128.5,88.5,324784928,165,Central Arctic
-127.5,88.5,324772768,165,Central Arctic
-126.5,88.5,324760704,165,Central Arctic
-125.5,88.5,324754368,165,Central Arctic
-124.5,88.5,324753408,165,Central Arctic
-123.5,88.5,324752448,165,Central Arctic
-122.5,88.5,324751520,165,Central Arctic
-121.5,88.5,324750560,165,Central Arctic
-120.5,88.5,324749600,165,Central Arctic
-119.5,88.5,324652736,165,Central Arctic
-118.5,88.5,324653792,165,Central Arctic
-117.5,88.5,324654816,165,Central Arctic
-116.5,88.5,324655840,165,Central Arctic
-115.5,88.5,324656896,165,Central Arctic
-114.5,88.5,324657920,165,Central Arctic
-113.5,88.5,324664320,165,Central Arctic
-112.5,88.5,324676544,165,Central Arctic
-111.5,88.5,324688896,165,Central Arctic
-110.5,88.5,324701632,165,Central Arctic
-109.5,88.5,324714880,165,Central Arctic
-108.5,88.5,324728576,165,Central Arctic
-107.5,88.5,324742368,165,Central Arctic
-106.5,88.5,324754144,165,Central Arctic
-105.5,88.5,324765664,165,Central Arctic
-104.5,88.5,324777120,165,Central Arctic
-103.5,88.5,324788512,165,Central Arctic
-102.5,88.5,324799808,165,Central Arctic
-101.5,88.5,324811680,165,Central Arctic
-100.5,88.5,324826016,165,Central Arctic
-99.5,88.5,324840096,165,Central Arctic
-98.5,88.5,324853472,165,Central Arctic
-97.5,88.5,324866336,165,Central Arctic
-96.5,88.5,324878208,165,Central Arctic
-95.5,88.5,324889344,165,Central Arctic
-94.5,88.5,324900160,165,Central Arctic
-93.5,88.5,324909984,165,Central Arctic
-92.5,88.5,324919520,165,Central Arctic
-91.5,88.5,324928064,165,Central Arctic
-90.5,88.5,324935936,165,Central Arctic
-89.5,88.5,324942208,165,Central Arctic
-88.5,88.5,324947712,165,Central Arctic
-87.5,88.5,324950944,165,Central Arctic
-86.5,88.5,324950560,165,Central Arctic
-85.5,88.5,324949152,165,Central Arctic
-84.5,88.5,324945600,165,Central Arctic
-83.5,88.5,324939136,165,Central Arctic
-82.5,88.5,324931392,165,Central Arctic
-81.5,88.5,324922368,165,Central Arctic
-80.5,88.5,324912320,165,Central Arctic
-79.5,88.5,324902912,165,Central Arctic
-78.5,88.5,324890944,165,Central Arctic
-77.5,88.5,324878368,165,Central Arctic
-76.5,88.5,324864800,165,Central Arctic
-75.5,88.5,324847168,165,Central Arctic
-74.5,88.5,324829376,165,Central Arctic
-73.5,88.5,324810560,165,Central Arctic
-72.5,88.5,324788608,165,Central Arctic
-71.5,88.5,324760800,165,Central Arctic
-70.5,88.5,324731520,165,Central Arctic
-69.5,88.5,324700672,165,Central Arctic
-68.5,88.5,324668512,165,Central Arctic
-67.5,88.5,324634912,165,Central Arctic
-66.5,88.5,324600832,165,Central Arctic
-65.5,88.5,324565376,165,Central Arctic
-64.5,88.5,324528992,165,Central Arctic
-63.5,88.5,324490560,165,Central Arctic
-62.5,88.5,324449248,165,Central Arctic
-61.5,88.5,324408160,165,Central Arctic
-60.5,88.5,324367232,165,Central Arctic
-59.5,88.5,324329024,165,Central Arctic
-58.5,88.5,324291168,165,Central Arctic
-57.5,88.5,324253664,165,Central Arctic
-56.5,88.5,324215136,165,Central Arctic
-55.5,88.5,324170560,165,Central Arctic
-54.5,88.5,324124768,165,Central Arctic
-53.5,88.5,324079648,165,Central Arctic
-52.5,88.5,324040736,165,Central Arctic
-51.5,88.5,324005344,165,Central Arctic
-50.5,88.5,323970016,165,Central Arctic
-49.5,88.5,323931296,165,Central Arctic
-48.5,88.5,323887360,165,Central Arctic
-47.5,88.5,323844480,165,Central Arctic
-46.5,88.5,323805408,165,Central Arctic
-45.5,88.5,323774784,165,Central Arctic
-44.5,88.5,323747520,165,Central Arctic
-43.5,88.5,323722944,165,Central Arctic
-42.5,88.5,323690752,165,Central Arctic
-41.5,88.5,323656480,165,Central Arctic
-40.5,88.5,323625568,165,Central Arctic
-39.5,88.5,323599904,165,Central Arctic
-38.5,88.5,323585248,165,Central Arctic
-37.5,88.5,323573088,165,Central Arctic
-36.5,88.5,323560768,165,Central Arctic
-35.5,88.5,323539840,165,Central Arctic
-34.5,88.5,323520928,165,Central Arctic
-33.5,88.5,323506688,165,Central Arctic
-32.5,88.5,323504160,165,Central Arctic
-31.5,88.5,323505632,165,Central Arctic
-30.5,88.5,323507136,165,Central Arctic
-29.5,88.5,323509632,165,Central Arctic
-28.5,88.5,323508160,165,Central Arctic
-27.5,88.5,323506656,165,Central Arctic
-26.5,88.5,323510432,165,Central Arctic
-25.5,88.5,323527200,165,Central Arctic
-24.5,88.5,323547168,165,Central Arctic
-23.5,88.5,323568800,165,Central Arctic
-22.5,88.5,323582880,165,Central Arctic
-21.5,88.5,323596320,165,Central Arctic
-20.5,88.5,323611840,165,Central Arctic
-19.5,88.5,323639232,165,Central Arctic
-18.5,88.5,323671712,165,Central Arctic
-17.5,88.5,323707104,165,Central Arctic
-16.5,88.5,323740672,165,Central Arctic
