fa_ffcl_shrt,scenario,decade,contnnt,spatial_scale,mean,median,sd,min,max,n_model,agreement,wilcox_p,SD > mean,Loss,,,,,,,,,,,
Kazakhstan,ssp585,2091-2100,Asia,countries,-19.5682274,-21.18085127,16.64028957,-38.20452738,2.293320301,4,75,3.15E-05,FALSE,,,,,,,,,,,,
Bahrain,ssp585,2041-2050,Asia,countries,-19.44621672,-18.88562528,2.270128329,-22.52433827,-17.48927804,4,100,0.006188279,FALSE,1,,,,,,,,,,,
Maldives,ssp585,2091-2100,Asia,countries,-19.44546637,-23.05138521,9.834383861,-29.25474937,1.047871066,10,90,1.09E-09,FALSE,,,,,,,,,,,,
Gambia,ssp585,2041-2050,Africa,countries,-19.2377202,-20.29180812,6.216205245,-29.3994135,-9.105963548,10,100,0.101871223,,,,,,,,,,,,,
Greenland,ssp585,2091-2100,Americas,countries,-19.18568235,-20.4113088,10.04736017,-32.97043943,-1.919354011,10,100,3.05E-18,,,,,,,,,,,,,
Cameroon,ssp585,2091-2100,Africa,countries,-19.17341792,-22.44735069,6.346251247,-25.86615613,-9.902746196,8,100,4.11E-20,,,,,,,,,,,,,
United States of America,ssp585,2091-2100,Americas,countries,-19.16727183,-20.42575189,13.60287706,-33.20558581,9.785939181,10,90,8.24E-15,,,,,,,,,,,,,
Curaçao,ssp585,2091-2100,Americas,countries,-19.10354974,-14.48700121,17.56192984,-43.15781198,11.84481637,10,90,1.44E-05,,,,,,,,,,,,,
Iran (Islamic Republic of),ssp585,2041-2050,Asia,countries,-18.84148914,-12.98953232,19.51638481,-73.75193605,-8.083998681,10,100,0.00061062,TRUE,1,,,,,,,,,,,
Namibia,ssp585,2041-2050,Africa,countries,-18.76329424,-16.06366847,14.64922017,-48.24786865,-2.892543745,10,100,0.000217246,,,,,,,,,,,,,
United Arab Emirates,ssp126,2041-2050,Asia,countries,-18.6895097,-12.47013499,23.96692286,-86.30176139,-6.356630351,10,100,0.000182525,TRUE,1,,,,,,,,,,,
Cyprus,ssp585,2091-2100,Asia,countries,-18.58568596,-22.31493587,24.09983119,-50.56819269,37.64609983,10,90,2.02E-16,TRUE,,,,,,,,,,,,
United Republic of Tanzania,ssp585,2091-2100,Africa,countries,-17.73754756,-13.91053896,16.26171561,-57.19260295,-0.92034991,10,100,1.90E-16,,,,,,,,,,,,,
Sudan,ssp585,2041-2050,Africa,countries,-17.66196184,-14.94371749,5.950653055,-26.56683197,-14.19358042,4,100,0.074161792,,,,,,,,,,,,,
Argentina,ssp585,2091-2100,Americas,countries,-17.612744,-20.56056069,14.74094122,-42.12667194,9.677485759,10,80,9.72E-11,,,,,,,,,,,,,
Equatorial Guinea,ssp585,2041-2050,Africa,countries,-17.42388515,-16.00993405,8.968142637,-34.13215512,-5.245558107,10,100,1.20E-07,,,,,,,,,,,,,
Egypt,ssp585,2091-2100,Africa,countries,-17.41729349,-25.09146095,22.41677824,-44.22467733,28.14335218,10,70,3.50E-16,,,,,,,,,,,,,
Ghana,ssp585,2041-2050,Africa,countries,-17.26133874,-18.5847839,5.781407209,-26.10155196,-9.146357906,10,100,8.69E-08,,,,,,,,,,,,,
Brazil,ssp585,2091-2100,Americas,countries,-17.1789126,-17.08209098,7.855304884,-27.30620423,-3.778004424,10,100,7.65E-24,,,,,,,,,,,,,
Iran (Islamic Republic of),ssp126,2091-2100,Asia,countries,-17.09506793,-9.043428104,20.88294313,-74.20112433,-5.360304202,10,100,3.36E-17,TRUE,,,,,,,,,,,,
Liberia,ssp585,2041-2050,Africa,countries,-17.02764791,-16.51270551,5.027492594,-24.61682956,-8.957691048,10,100,0.000241422,,,,,,,,,,,,,
Canada,ssp585,2091-2100,Americas,countries,-16.880942,-19.18837797,11.03317136,-26.71220061,11.83088322,10,90,1.43E-18,,,,,,,,,,,,,
Kerguelen Islands,ssp585,2091-2100,Africa,countries,-16.85479792,-17.58093743,13.93082335,-40.29874139,4.361061519,10,90,2.25E-08,,,,,,,,,,,,,
Qatar,ssp585,2041-2050,Asia,countries,-16.61966652,-10.79425066,24.98820172,-84.37818569,-0.021610949,10,100,0.028844051,TRUE,1,,,,,,,,,,,
Mexico,ssp585,2091-2100,Americas,countries,-16.58114524,-14.71018109,7.834554276,-29.96513467,-2.786941885,10,100,2.58E-12,,,,,,,,,,,,,
Togo,ssp585,2041-2050,Africa,countries,-16.48941968,-17.30204181,7.733148645,-29.32207042,-5.567386596,10,100,3.74E-05,,,,,,,,,,,,,
Cambodia,ssp585,2091-2100,Asia,countries,-16.45913244,-16.84333433,5.663701599,-26.8384678,-6.578654034,10,100,4.02E-15,FALSE,,,,,,,,,,,,
United States of America (Hawaii),ssp585,2041-2050,Americas,countries,-16.0443599,-14.85292941,9.310137996,-29.86899672,-4.059379526,10,100,0.098838835,,,,,,,,,,,,,
Senegal,ssp126,2041-2050,Africa,countries,-16.01211913,-15.8830837,7.412365307,-25.76989166,-4.432288441,10,100,0.237452384,,,,,,,,,,,,,
Côte d'Ivoire,ssp585,2041-2050,Africa,countries,-15.9265115,-17.69967061,7.757090413,-27.32202654,-2.825438253,10,100,8.56E-07,,,,,,,,,,,,,
Prince Edward Island,ssp585,2091-2100,Africa,countries,-15.91556541,-15.88653846,15.19166429,-40.69361139,2.205406493,10,70,1.45E-05,,,,,,,,,,,,,
Bahrain,ssp126,2041-2050,Asia,countries,-15.77430326,-15.49271939,2.89733726,-19.31033709,-12.80143716,4,100,0.006188279,FALSE,1,,,,,,,,,,,
Tristan da Cunha,ssp585,2091-2100,Africa,countries,-15.75525903,-17.07126405,7.943537856,-28.16412194,-3.011033581,10,100,1.03E-22,,,,,,,,,,,,,
Algeria,ssp585,2091-2100,Africa,countries,-15.66900281,-14.65306621,17.54916895,-35.04240094,12.8465055,10,80,0.003515755,,,,,,,,,,,,,
Iraq,ssp585,2041-2050,Asia,countries,-15.39108379,-15.38073767,6.886852676,-22.2831037,-8.509410008,3,100,0.010043807,FALSE,1,,,,,,,,,,,
Democratic Republic of the Congo,ssp585,2041-2050,Africa,countries,-15.38283806,-14.87840347,7.783790021,-29.03584715,-6.658546199,10,100,4.65E-06,,,,,,,,,,,,,
Bahrain,ssp126,2091-2100,Asia,countries,-15.26026727,-16.50106213,4.876454623,-19.3762014,-8.662743389,4,100,8.66E-12,FALSE,,,,,,,,,,,,
Taiwan Province of China,ssp126,2041-2050,Asia,countries,-15.19698955,-16.16154415,7.811338446,-29.77512864,-5.235345628,10,100,0.709433663,FALSE,1,,,,,,,,,,,
Gabon,ssp585,2041-2050,Africa,countries,-15.16903759,-13.02195415,8.09303246,-30.36734969,-6.286765009,10,100,3.09E-07,,,,,,,,,,,,,
Iran (Islamic Republic of),ssp126,2041-2050,Asia,countries,-14.99550975,-7.929637931,21.44182833,-73.9643924,-2.571818158,10,100,0.00061062,TRUE,1,,,,,,,,,,,
Guatemala,ssp585,2041-2050,Americas,countries,-14.95379932,-13.4468082,10.81134827,-38.72776209,-1.014170027,10,100,0.59850591,,,,,,,,,,,,,
Sudan,ssp126,2041-2050,Africa,countries,-14.84508878,-12.31751525,5.837973107,-23.52078951,-11.22453513,4,100,0.074161792,,,,,,,,,,,,,
