fa_ffcl_shrt,scenario,decade,contnnt,spatial_scale,mean,median,sd,min,max,n_model,agreement,wilcox_p,SD > mean,Loss,,,,,,,,,,,
Japan,ssp126,2091-2100,Asia,countries,-7.080994716,-6.347536715,5.112012858,-16.15089746,-0.875355952,10,100,1.20E-25,FALSE,,,,,,,,,,,,
Saint Pierre and Miquelon,ssp126,2041-2050,Americas,countries,-7.055139641,-6.220756507,4.400746693,-17.21364983,-1.142326281,10,100,1.22E-05,,,,,,,,,,,,,
Montserrat,ssp585,2091-2100,Americas,countries,-7.042583158,-1.890698178,14.37512812,-29.70962698,10.76182887,10,60,0.005697522,,,,,,,,,,,,,
Yemen,ssp126,2041-2050,Asia,countries,-6.982947953,-5.752608432,7.186663118,-23.14982587,1.26543715,10,90,0.002885188,TRUE,1,,,,,,,,,,,
Argentina,ssp126,2091-2100,Americas,countries,-6.850693642,-6.30070385,5.828300305,-17.54222728,1.602858566,10,90,9.72E-11,,,,,,,,,,,,,
Barbados,ssp126,2091-2100,Americas,countries,-6.774682578,-7.61940117,4.038392303,-12.73144128,0.535601437,10,90,0.000345779,,,,,,,,,,,,,
Cayman Islands,ssp126,2091-2100,Americas,countries,-6.764791466,-6.698384806,5.052065325,-15.95457656,2.404290316,10,90,0.112516929,,,,,,,,,,,,,
Seychelles,ssp585,2041-2050,Africa,countries,-6.759457857,-4.542898232,10.00385089,-33.69248703,3.209079922,10,90,0.052225237,,,,,,,,,,,,,
Jordan,ssp126,2091-2100,Asia,countries,-6.740613605,-7.982788684,2.604846469,-8.491861609,-3.747190522,3,100,4.65E-07,FALSE,,,,,,,,,,,,
Philippines,ssp126,2091-2100,Asia,countries,-6.724616414,-5.174499836,4.603204235,-15.36644203,0.067815858,10,90,2.03E-21,FALSE,,,,,,,,,,,,
Colombia,ssp585,2041-2050,Americas,countries,-6.722082385,-5.533567169,8.004601125,-22.51032677,2.780174482,10,80,0.930877938,,,,,,,,,,,,,
French Guiana,ssp585,2041-2050,Americas,countries,-6.71291046,-9.490684765,10.57350858,-16.13783202,18.94546098,10,90,0.102383747,,,,,,,,,,,,,
Philippines,ssp126,2041-2050,Asia,countries,-6.620969475,-5.75199038,4.547325274,-12.58969345,2.192377705,10,90,0.620751012,FALSE,1,,,,,,,,,,,
Ecuador,ssp126,2041-2050,Americas,countries,-6.564521664,-4.551165789,9.659284211,-27.58126249,3.225698383,10,70,0.006048372,,,,,,,,,,,,,
South Africa,ssp126,2041-2050,Africa,countries,-6.531585245,-4.315153882,8.441691077,-23.75403432,2.272864572,10,70,0.39992932,,,,,,,,,,,,,
Belize,ssp585,2041-2050,Americas,countries,-6.52340257,-3.976480939,9.624521616,-21.4253544,4.081583797,10,70,0.062107023,,,,,,,,,,,,,
Argentina,ssp585,2041-2050,Americas,countries,-6.516980581,-5.973068799,5.770997113,-17.26013671,3.125501109,10,80,0.021147684,,,,,,,,,,,,,
Cambodia,ssp585,2041-2050,Asia,countries,-6.480121306,-3.586066127,7.163718149,-25.09228928,-1.000950713,10,100,0.073882719,TRUE,1,,,,,,,,,,,
Chile,ssp126,2041-2050,Americas,countries,-6.438903838,-5.584821995,3.180733418,-11.45932486,-2.811796668,10,100,0.629401578,,,,,,,,,,,,,
Cabo Verde,ssp126,2041-2050,Africa,countries,-6.333647805,-3.070228413,11.89552671,-27.46282536,9.012743304,10,60,0.882480857,,,,,,,,,,,,,
Juan de Nova Island,ssp585,2041-2050,Africa,countries,-6.328246479,-3.780199996,15.60739739,-46.22913261,8.483583728,10,60,0.944482918,,,,,,,,,,,,,
Cabo Verde,ssp126,2091-2100,Africa,countries,-6.284575023,-3.778852075,13.02252446,-27.76702449,8.859098881,10,50,2.64E-13,,,,,,,,,,,,,
Bahamas,ssp585,2041-2050,Americas,countries,-6.235896744,-5.851870079,9.103097966,-17.91595273,6.118736873,10,70,2.62E-08,,,,,,,,,,,,,
Bahamas,ssp585,2091-2100,Americas,countries,-6.234813722,-5.887697755,12.34128829,-30.36968058,14.42937054,10,80,1.39E-07,,,,,,,,,,,,,
Somalia,ssp126,2041-2050,Africa,countries,-6.219284936,-6.163314042,4.455774562,-13.8608399,3.23686058,10,90,0.018562361,,,,,,,,,,,,,
Cuba,ssp585,2091-2100,Americas,countries,-6.198649405,-5.973157385,15.3559521,-27.8943548,19.32739842,10,70,0.58164451,,,,,,,,,,,,,
Djibouti,ssp585,2041-2050,Africa,countries,-6.171979649,-9.503118437,7.518396315,-10.70144442,5.019762698,4,75,0.161473842,,,,,,,,,,,,,
Honduras,ssp585,2041-2050,Americas,countries,-6.159041064,-3.2266156,9.155881679,-19.34963015,4.598431651,10,60,0.511792008,,,,,,,,,,,,,
Mozambique,ssp585,2041-2050,Africa,countries,-6.15527244,-4.700049312,8.478030627,-24.42175411,6.860335829,10,90,0.464293719,,,,,,,,,,,,,
Chile,ssp585,2041-2050,Americas,countries,-6.13977129,-6.160690909,3.744490485,-11.5595326,-1.630932399,10,100,0.629401578,,,,,,,,,,,,,
United States of America,ssp126,2041-2050,Americas,countries,-6.063168931,-6.965635602,4.541158293,-15.14266372,1.190348563,10,90,0.199141654,,,,,,,,,,,,,
Peru,ssp126,2041-2050,Americas,countries,-6.026972638,-5.533872391,5.669974183,-17.10632722,2.591546609,10,80,0.008592267,,,,,,,,,,,,,
Yemen,ssp126,2091-2100,Asia,countries,-5.984247333,-6.396576024,7.443888079,-21.06419391,3.47862818,10,70,6.66E-23,TRUE,,,,,,,,,,,,
Kerguelen Islands,ssp585,2041-2050,Africa,countries,-5.981971615,-5.647315528,5.567423075,-16.00675714,1.977659412,10,90,0.144983522,,,,,,,,,,,,,
Azerbaijan,ssp585,2041-2050,Asia,countries,-5.889437182,-4.220391689,3.716540999,-11.43960729,-3.677358058,4,100,1.29E-08,FALSE,1,,,,,,,,,,,
Venezuela (Bolivarian Republic of),ssp126,2091-2100,Americas,countries,-5.869555054,-2.850812436,11.38019442,-21.00598677,7.841245942,10,60,0.018562361,,,,,,,,,,,,,
Antigua and Barbuda,ssp585,2091-2100,Americas,countries,-5.834470114,-8.384466199,12.97701459,-28.59967976,10.08837243,10,60,2.72E-07,,,,,,,,,,,,,
Brazil,ssp126,2041-2050,Americas,countries,-5.813809665,-6.040078033,1.544239901,-7.93000957,-2.447790149,10,100,0.064895065,,,,,,,,,,,,,
Aruba,ssp126,2091-2100,Americas,countries,-5.807722969,-7.393839684,10.92530863,-19.88595585,7.688992983,10,60,0.005050599,,,,,,,,,,,,,
Timor-Leste,ssp126,2091-2100,Asia,countries,-5.774236792,-6.569734235,5.383687029,-12.69453409,1.410852012,10,90,6.74E-07,FALSE,,,,,,,,,,,,
Colombia (Serrana),ssp585,2041-2050,Americas,countries,-5.701479851,-3.150397455,10.04521471,-19.3567513,6.999530845,10,60,0.802241117,,,,,,,,,,,,,
Jamaica,ssp126,2041-2050,Americas,countries,-5.685211741,-1.422916825,8.643932621,-19.06612614,3.743354197,10,70,0.802241408,,,,,,,,,,,,,
United States of America,ssp126,2091-2100,Americas,countries,-5.66847664,-5.406842395,6.610059613,-17.5768167,7.077993005,10,90,8.24E-15,,,,,,,,,,,,,
Côte d'Ivoire,ssp126,2091-2100,Africa,countries,-5.660787489,-6.33218742,2.481672561,-9.57874628,-2.313368696,10,100,8.74E-32,,,,,,,,,,,,,
Jordan,ssp126,2041-2050,Asia,countries,-5.654848398,-5.157985147,4.030034651,-9.910276963,-1.896283084,3,100,0.1590531,FALSE,1,,,,,,,,,,,
Juan de Nova Island,ssp585,2091-2100,Africa,countries,-5.64749584,-4.400311821,29.05884652,-55.41377551,33.61862811,10,60,0.27852313,,,,,,,,,,,,,
Saint Kitts and Nevis,ssp126,2041-2050,Americas,countries,-5.62069469,-5.140766681,5.184558422,-13.60381263,0.573016154,10,90,0.153244809,,,,,,,,,,,,,
United States Virgin Islands,ssp126,2041-2050,Americas,countries,-5.528823371,-4.878751795,9.363992001,-24.71330794,5.471058497,10,70,0.358884607,,,,,,,,,,,,,
Uruguay,ssp126,2041-2050,Americas,countries,-5.515557347,-4.894593684,4.610229762,-15.26732687,1.483244985,10,90,9.68E-05,,,,,,,,,,,,,
Canada,ssp126,2041-2050,Americas,countries,-5.510982755,-5.566005554,2.032283086,-8.888034607,-2.372001544,10,100,0.507087159,,,,,,,,,,,,,
Honduras,ssp126,2041-2050,Americas,countries,-5.483072871,-1.805733579,10.26995229,-21.0716833,7.684686472,10,70,0.511792008,,,,,,,,,,,,,
Guinea-Bissau,ssp126,2091-2100,Africa,countries,-5.470050812,-2.809627874,7.762336636,-22.39862175,4.827766675,10,90,3.11E-25,,,,,,,,,,,,,
Suriname,ssp126,2041-2050,Americas,countries,-5.436895332,-8.436111285,10.16512874,-17.47277646,17.2652903,10,70,0.099339168,,,,,,,,,,,,,
Belize,ssp585,2091-2100,Americas,countries,-5.411129463,-5.394082084,21.18110442,-35.74442532,25.98200886,10,60,0.252321086,,,,,,,,,,,,,
Greenland,ssp126,2041-2050,Americas,countries,-5.33025406,-5.462342208,4.097657732,-13.48267277,0.390023808,10,90,0.001352952,,,,,,,,,,,,,
Jamaica,ssp585,2041-2050,Americas,countries,-5.329989507,-3.758425573,6.336532581,-13.59536133,4.330350296,10,70,0.802241408,,,,,,,,,,,,,
Montserrat,ssp585,2041-2050,Americas,countries,-5.308861473,-7.302916151,8.889561078,-14.48208829,15.58122802,10,90,0.190310422,,,,,,,,,,,,,
Cambodia,ssp126,2091-2100,Asia,countries,-5.292726667,-4.021644981,6.575501226,-23.12989112,0.099587159,10,90,4.02E-15,TRUE,,,,,,,,,,,,
Andaman and Nicobar Islands,ssp126,2091-2100,Asia,countries,-5.291942778,-4.897866097,4.029440129,-11.28954157,0.324122744,10,90,4.91E-14,FALSE,,,,,,,,,,,,
Mozambique,ssp126,2041-2050,Africa,countries,-5.282796521,-3.81965474,5.193814059,-14.37848332,2.030054709,10,90,0.464293719,,,,,,,,,,,,,
Democratic People's Republic of Korea,ssp126,2041-2050,Asia,countries,-5.277619552,-5.385052994,9.149202308,-22.46333107,8.668557624,10,70,0.031060974,TRUE,1,,,,,,,,,,,
Türkiye,ssp126,2041-2050,Asia,countries,-5.273513413,-4.791047171,4.531460064,-13.00025436,0.308297594,10,90,0.390422619,FALSE,1,,,,,,,,,,,
Argentina,ssp126,2041-2050,Americas,countries,-5.199914862,-4.205063862,4.427756491,-13.2077809,0.139186785,10,80,0.021147684,,,,,,,,,,,,,
Saint Kitts and Nevis,ssp585,2091-2100,Americas,countries,-5.162603715,-3.717746803,14.5813689,-29.15117987,14.94165815,10,60,0.000314823,,,,,,,,,,,,,
Grenada,ssp126,2041-2050,Americas,countries,-5.099294341,-8.665689196,9.76434234,-15.35603502,16.69957849,10,80,0.106558021,,,,,,,,,,,,,
Saudi Arabia,ssp126,2091-2100,Asia,countries,-5.067818792,-2.354209621,6.251265984,-13.15496752,2.079401124,10,70,0.100345898,TRUE,,,,,,,,,,,,
Timor-Leste,ssp126,2041-2050,Asia,countries,-5.045059899,-4.643255252,6.287802557,-15.37334454,2.901520984,10,70,0.033830748,TRUE,1,,,,,,,,,,,
Canada,ssp585,2041-2050,Americas,countries,-5.020566847,-5.051916624,2.99642633,-10.95741875,-0.453826925,10,100,0.507087159,,,,,,,,,,,,,
Juan de Nova Island,ssp126,2041-2050,Africa,countries,-5.002727554,-1.298424703,9.20847833,-24.96297752,5.431704053,10,60,0.944482918,,,,,,,,,,,,,
Mauritius,ssp126,2091-2100,Africa,countries,-4.999956996,-2.234440568,11.20652059,-25.70176603,8.096784734,10,50,0.33877588,,,,,,,,,,,,,
Gabon,ssp126,2091-2100,Africa,countries,-4.970600088,-6.54946752,5.870053516,-12.28953985,4.432964101,10,70,9.15E-31,,,,,,,,,,,,,
Cuba,ssp126,2041-2050,Americas,countries,-4.941889535,-3.423791753,4.464852398,-12.62455013,0.260679816,10,90,0.001318902,,,,,,,,,,,,,
Turkmenistan,ssp585,2041-2050,Asia,countries,-4.867796956,-3.798238521,3.291269281,-9.621371632,-2.253339149,4,100,3.46E-05,FALSE,1,,,,,,,,,,,
Cuba,ssp126,2091-2100,Americas,countries,-4.853390375,-4.273905271,4.97408684,-12.35924368,2.51971688,10,90,0.58164451,,,,,,,,,,,,,
Colombia (Serrana),ssp126,2041-2050,Americas,countries,-4.838995737,-1.60186794,13.27391481,-22.36528862,10.43758571,10,50,0.802241117,,,,,,,,,,,,,
Saba,ssp126,2041-2050,Americas,countries,-4.753367378,-4.41790015,5.572771082,-13.77865989,2.121405345,10,70,0.354421469,,,,,,,,,,,,,
Prince Edward Island,ssp585,2041-2050,Africa,countries,-4.750028309,-4.678906625,5.546440984,-13.47373137,3.228786641,10,80,0.016476488,,,,,,,,,,,,,
Angola,ssp126,2091-2100,Africa,countries,-4.749998918,-5.32409835,15.4497834,-35.53524545,22.82901938,10,70,1.58E-26,,,,,,,,,,,,,
Djibouti,ssp126,2041-2050,Africa,countries,-4.747816679,-6.285845721,4.109571149,-7.718540469,1.298965197,4,75,0.161473842,,,,,,,,,,,,,
Thailand,ssp126,2091-2100,Asia,countries,-4.682321288,-4.222426878,5.382613445,-15.73584475,2.382767001,10,80,4.23E-09,TRUE,,,,,,,,,,,,
Kerguelen Islands,ssp126,2041-2050,Africa,countries,-4.639872324,-4.183085985,4.617304227,-12.28827586,2.319188129,10,90,0.144983522,,,,,,,,,,,,,
Ascension,ssp126,2091-2100,Africa,countries,-4.626965667,-6.192095775,5.802535515,-11.25020701,9.702730711,10,90,1.54E-26,,,,,,,,,,,,,
Democratic Republic of the Congo,ssp126,2091-2100,Africa,countries,-4.563471023,-4.263725698,6.343383782,-14.40448032,2.850245864,10,60,2.95E-28,,,,,,,,,,,,,
French Guiana,ssp126,2041-2050,Americas,countries,-4.560077896,-6.53957792,10.86873699,-15.93640012,18.55747325,10,60,0.102383747,,,,,,,,,,,,,
United States Virgin Islands,ssp585,2091-2100,Americas,countries,-4.538790838,-0.749625855,18.1170464,-30.07951594,22.27984189,10,50,0.072706431,,,,,,,,,,,,,
Algeria,ssp126,2041-2050,Africa,countries,-4.502183993,-2.49147189,7.396212816,-17.44361646,6.533138406,10,80,0.109776609,,,,,,,,,,,,,
Madagascar,ssp585,2041-2050,Africa,countries,-4.497066818,-1.466003749,13.30640843,-39.0378654,10.03063148,10,50,0.240375656,,,,,,,,,,,,,
Bangladesh,ssp126,2041-2050,Asia,countries,-4.416361953,-5.069596706,3.735336132,-10.57237973,0.403121512,10,90,0.149070863,FALSE,1,,,,,,,,,,,
Comoros,ssp585,2041-2050,Africa,countries,-4.41266291,-2.350638375,15.86115147,-47.58053026,9.894840777,10,60,0.556777295,,,,,,,,,,,,,
Cameroon,ssp126,2041-2050,Africa,countries,-4.390434661,-5.835841108,5.789570944,-11.24790453,6.834738377,8,75,4.71E-05,,,,,,,,,,,,,
Somalia,ssp126,2091-2100,Africa,countries,-4.36869729,-5.672243967,5.213221202,-11.83086829,2.358736555,10,70,2.07E-28,,,,,,,,,,,,,
Greenland,ssp126,2091-2100,Americas,countries,-4.365131058,-1.796690465,7.830705826,-22.46043643,5.292666378,10,80,3.05E-18,,,,,,,,,,,,,
Tristan da Cunha,ssp585,2041-2050,Africa,countries,-4.352443803,-4.33634467,6.366190134,-13.92252084,6.718219722,10,80,0.000710965,,,,,,,,,,,,,
Colombia (Serranilla),ssp585,2041-2050,Americas,countries,-4.352279494,-3.121861704,9.543296152,-17.164907,8.312322967,10,60,0.866115883,,,,,,,,,,,,,
Colombia (Serranilla),ssp126,2041-2050,Americas,countries,-4.351558296,0.965544731,11.71419797,-22.65859872,8.890308473,10,50,0.866115883,,,,,,,,,,,,,
Seychelles,ssp126,2041-2050,Africa,countries,-4.349611408,-2.560403845,8.943204709,-26.20962603,5.961612129,10,70,0.052225237,,,,,,,,,,,,,
United Republic of Tanzania,ssp585,2041-2050,Africa,countries,-4.327826071,-1.097570914,11.7046241,-36.42100702,5.255626589,10,70,0.722205245,,,,,,,,,,,,,
Equatorial Guinea,ssp126,2091-2100,Africa,countries,-4.316775265,-4.555939672,7.602210877,-15.63521195,6.501913936,10,60,1.15E-30,,,,,,,,,,,,,
Saint Lucia,ssp126,2091-2100,Americas,countries,-4.253128961,-6.290691764,6.682782134,-13.27739616,9.767136054,10,80,7.38E-06,,,,,,,,,,,,,
Guyana,ssp126,2091-2100,Americas,countries,-4.248629779,-6.131287656,9.316299863,-12.07541882,20.67449406,10,90,6.92E-15,,,,,,,,,,,,,
Türkiye,ssp585,2041-2050,Asia,countries,-4.172154057,-4.950344895,6.189079731,-13.75689589,8.007787202,10,80,0.390422619,TRUE,1,,,,,,,,,,,
Kazakhstan,ssp126,2091-2100,Asia,countries,-4.162312186,-3.7373231,5.158214447,-10.62175839,1.44715584,4,75,3.15E-05,TRUE,,,,,,,,,,,,
Belize,ssp126,2041-2050,Americas,countries,-4.144858127,-0.876024485,9.56003167,-18.6611203,7.714782456,10,60,0.062107023,,,,,,,,,,,,,
United States Virgin Islands,ssp585,2041-2050,Americas,countries,-4.142078699,-3.825033467,9.030089513,-16.08293778,9.092680755,10,70,0.358884607,,,,,,,,,,,,,
Madagascar,ssp126,2041-2050,Africa,countries,-4.124221489,-1.354943374,5.920688551,-15.60483251,2.680365559,10,60,0.240375656,,,,,,,,,,,,,
Canada,ssp126,2091-2100,Americas,countries,-4.076349026,-2.626086549,6.587031957,-18.50574282,4.147036498,10,70,1.43E-18,,,,,,,,,,,,,
Guinea,ssp126,2091-2100,Africa,countries,-4.070076455,-2.177848407,4.696636883,-12.04084642,1.16884799,10,90,1.15E-21,,,,,,,,,,,,,
Sao Tome and Principe,ssp126,2091-2100,Africa,countries,-4.062886001,-3.520913051,5.954203844,-12.85693624,4.001941136,10,70,1.96E-25,,,,,,,,,,,,,
Tunisia,ssp585,2041-2050,Africa,countries,-3.958764094,-3.847491291,12.39324406,-20.67609903,16.51215464,10,60,0.017608358,,,,,,,,,,,,,
Andaman and Nicobar Islands,ssp585,2041-2050,Asia,countries,-3.940793563,-4.915429119,4.263037001,-8.920156075,2.494060474,10,80,0.040963941,TRUE,1,,,,,,,,,,,
Cambodia,ssp126,2041-2050,Asia,countries,-3.918714254,-2.222638196,5.283922025,-17.31102148,0.082011351,10,90,0.073882719,TRUE,1,,,,,,,,,,,
Saudi Arabia,ssp126,2041-2050,Asia,countries,-3.916056632,-1.16407944,7.449128566,-13.48115276,5.10771155,10,50,0.02060686,TRUE,1,,,,,,,,,,,
Réunion,ssp126,2041-2050,Africa,countries,-3.851221963,-0.242371177,10.08133064,-26.84167502,9.258348912,10,50,0.075877741,,,,,,,,,,,,,
Saba,ssp585,2091-2100,Americas,countries,-3.842219157,-0.640398265,15.70003422,-29.63958867,19.2801781,10,50,0.003684636,,,,,,,,,,,,,
Kenya,ssp126,2041-2050,Africa,countries,-3.841221507,-3.230990093,7.743685365,-21.75963251,8.316153283,10,80,0.981481011,,,,,,,,,,,,,
Saint Kitts and Nevis,ssp585,2041-2050,Americas,countries,-3.816095077,-3.523794027,7.696036065,-14.90949755,12.49156317,10,80,0.153244809,,,,,,,,,,,,,
Martinique,ssp126,2091-2100,Americas,countries,-3.733820492,-4.311395895,3.993860752,-8.833451478,3.077312594,10,70,1.64E-05,,,,,,,,,,,,,
Colombia (Serrana),ssp126,2091-2100,Americas,countries,-3.711697021,-3.372986771,12.78659089,-20.78258127,13.55391979,10,50,0.000477924,,,,,,,,,,,,,
Suriname,ssp585,2091-2100,Americas,countries,-3.632027106,-12.98593112,43.70232336,-44.81281159,116.4769687,10,90,9.94E-07,,,,,,,,,,,,,
Seychelles,ssp126,2091-2100,Africa,countries,-3.538169856,-1.878448312,7.646439198,-17.4968621,5.255628285,10,50,4.40E-18,,,,,,,,,,,,,
Antigua and Barbuda,ssp126,2041-2050,Americas,countries,-3.525875507,-4.067910616,3.906684788,-9.533906513,3.729738102,10,90,0.826896755,,,,,,,,,,,,,
United Republic of Tanzania,ssp126,2041-2050,Africa,countries,-3.475195492,-0.559800817,11.07047736,-30.10489153,9.20580052,10,50,0.722205245,,,,,,,,,,,,,
Dominica,ssp126,2091-2100,Americas,countries,-3.47478248,-3.999471015,4.404685208,-9.89455278,2.541448271,10,70,8.15E-05,,,,,,,,,,,,,
Mauritius,ssp126,2041-2050,Africa,countries,-3.434102094,-0.679269455,9.047568494,-23.24386955,8.015113299,10,50,0.269944627,,,,,,,,,,,,,
Haiti,ssp585,2041-2050,Americas,countries,-3.415998623,-2.017352952,5.184204213,-11.31468431,4.877836922,10,80,0.386390713,,,,,,,,,,,,,
Saba,ssp585,2041-2050,Americas,countries,-3.406537359,-2.78756579,7.566712635,-15.57644474,10.43729476,10,70,0.354421469,,,,,,,,,,,,,
Kazakhstan,ssp585,2041-2050,Asia,countries,-3.394380255,-2.606578081,4.367798372,-9.350969561,0.986604704,4,75,0.00285353,TRUE,1,,,,,,,,,,,
Bangladesh,ssp585,2041-2050,Asia,countries,-3.331539209,-3.576810018,3.724327121,-8.357517929,2.936742571,10,80,0.149070863,TRUE,1,,,,,,,,,,,
Honduras,ssp126,2091-2100,Americas,countries,-3.330807758,-3.790988117,9.429707317,-18.37554358,9.657217079,10,60,0.048491401,,,,,,,,,,,,,
Myanmar,ssp126,2041-2050,Asia,countries,-3.310097162,-2.570056431,3.747486163,-9.194543344,1.390954829,10,80,0.48238342,TRUE,1,,,,,,,,,,,
Azerbaijan,ssp126,2091-2100,Asia,countries,-3.287875254,-2.974943081,5.407856301,-10.07539312,2.873778269,4,75,1.20E-17,TRUE,,,,,,,,,,,,
Ghana,ssp126,2091-2100,Africa,countries,-3.270471174,-3.788818432,4.365164299,-8.264075337,4.604220558,10,70,4.62E-31,,,,,,,,,,,,,
Kenya,ssp585,2041-2050,Africa,countries,-3.226236774,-2.422642224,6.677430862,-18.51019924,5.165841564,10,70,0.981481011,,,,,,,,,,,,,
South Africa,ssp126,2091-2100,Africa,countries,-3.188814897,-1.563659095,11.70576164,-31.11756587,9.04922424,10,50,5.50E-11,,,,,,,,,,,,,
Myanmar,ssp126,2091-2100,Asia,countries,-3.156196636,-3.714785135,4.287486224,-12.2899226,2.825163477,10,80,2.32E-12,TRUE,,,,,,,,,,,,
Congo,ssp126,2091-2100,Africa,countries,-3.117799583,-1.879663113,6.073755531,-12.65414852,2.696202421,10,50,1.52E-29,,,,,,,,,,,,,
Bermuda,ssp126,2041-2050,Americas,countries,-3.109206102,-6.098949673,12.57126841,-18.2870758,16.54009717,10,60,0.00042807,,,,,,,,,,,,,
Haiti,ssp126,2041-2050,Americas,countries,-3.056694483,-0.903390446,6.602921691,-11.73063276,4.55851511,10,60,0.386390713,,,,,,,,,,,,,
French Guiana,ssp585,2091-2100,Americas,countries,-2.955100637,-18.59843934,42.35769539,-30.40117086,111.6754326,10,70,1.10E-05,,,,,,,,,,,,,
Myanmar,ssp585,2041-2050,Asia,countries,-2.888711946,-4.313321934,3.509261068,-7.248651221,2.487376523,10,70,0.48238342,TRUE,1,,,,,,,,,,,
Djibouti,ssp126,2091-2100,Africa,countries,-2.877215336,-4.83343279,4.79562339,-6.097976362,4.255980597,4,75,6.41E-16,,,,,,,,,,,,,
Chile (San Felix and San Ambrosio islands),ssp126,2091-2100,Americas,countries,-2.812333744,0.003877871,8.630745421,-14.823959,11.03537129,10,50,0.499296529,,,,,,,,,,,,,
Prince Edward Island,ssp126,2041-2050,Africa,countries,-2.787325593,-3.37056568,3.627259187,-7.0780641,3.03924751,10,80,0.016476488,,,,,,,,,,,,,
Jamaica,ssp126,2091-2100,Americas,countries,-2.733317445,-1.842934075,4.23455687,-9.315273935,1.812442395,10,60,0.198288064,,,,,,,,,,,,,
Brazil,ssp126,2091-2100,Americas,countries,-2.65959727,-2.475007099,3.058265029,-7.493427869,1.626262266,10,70,7.65E-24,,,,,,,,,,,,,
Guadeloupe,ssp126,2091-2100,Americas,countries,-2.631995628,-3.190452512,3.716091687,-8.330381352,3.081279242,10,70,7.65E-07,,,,,,,,,,,,,
Mauritius,ssp585,2041-2050,Africa,countries,-2.604925164,-0.937816901,12.35922485,-34.66778774,9.576879817,10,60,0.269944627,,,,,,,,,,,,,
Bassas da India,ssp126,2091-2100,Africa,countries,-2.498689863,-0.259004313,8.447596485,-13.4972127,11.9640022,10,50,0.009908766,,,,,,,,,,,,,
Thailand,ssp126,2041-2050,Asia,countries,-2.478155535,-1.09627038,4.674537741,-13.42094189,1.53271479,10,70,0.859393951,TRUE,1,,,,,,,,,,,
Nigeria,ssp126,2091-2100,Africa,countries,-2.449555277,-3.284076686,5.141170614,-8.895340193,5.039628932,10,70,1.04E-31,,,,,,,,,,,,,
Turkmenistan,ssp126,2091-2100,Asia,countries,-2.390218374,-2.331162955,5.029814924,-8.401892253,3.503344667,4,75,5.06E-21,TRUE,,,,,,,,,,,,
Thailand,ssp585,2041-2050,Asia,countries,-2.33739277,-1.056664607,4.7620583,-15.04113517,1.92887736,10,80,0.859393951,TRUE,1,,,,,,,,,,,
Haiti,ssp585,2091-2100,Americas,countries,-2.3001297,0.00151326,17.95475969,-28.45043798,17.95968949,10,50,0.977583214,,,,,,,,,,,,,
Brazil (Trindade),ssp585,2041-2050,Americas,countries,-2.224672284,-1.293170109,5.420577413,-10.95143076,7.521160196,10,70,2.37E-06,,,,,,,,,,,,,
Antigua and Barbuda,ssp585,2041-2050,Americas,countries,-2.18671616,-2.101978919,7.153099574,-13.434043,11.53474589,10,60,0.826896755,,,,,,,,,,,,,
Saint Vincent and the Grenadines,ssp126,2091-2100,Americas,countries,-2.151519959,-5.354656811,11.05294711,-10.83609331,27.66771003,10,80,2.92E-05,,,,,,,,,,,,,
Montserrat,ssp126,2091-2100,Americas,countries,-2.134529582,-2.325680624,6.227895982,-13.20646694,7.327703548,10,60,0.005697522,,,,,,,,,,,,,
Greenland,ssp585,2041-2050,Americas,countries,-2.095196525,-3.245190916,6.841965303,-10.72078076,10.61764353,10,70,0.001352952,,,,,,,,,,,,,
Comoros,ssp126,2041-2050,Africa,countries,-2.014227714,-0.560283477,11.11692349,-28.17599469,9.79448717,10,50,0.556777295,,,,,,,,,,,,,
Colombia (Serranilla),ssp126,2091-2100,Americas,countries,-1.914641769,1.64291556,8.732760327,-13.64324332,9.744180253,10,60,0.058436325,,,,,,,,,,,,,
Belize,ssp126,2091-2100,Americas,countries,-1.753203651,-0.788056137,9.272682844,-15.69533211,11.27811923,10,50,0.252321086,,,,,,,,,,,,,
Bangladesh,ssp126,2091-2100,Asia,countries,-1.701828039,-0.954407998,2.66591545,-6.51030411,1.603144084,10,80,1.70E-18,TRUE,,,,,,,,,,,,
Chile (San Felix and San Ambrosio islands),ssp126,2041-2050,Americas,countries,-1.584520464,1.205582809,7.883559635,-12.2565112,8.278126294,10,50,0.03529309,,,,,,,,,,,,,
Suriname,ssp126,2091-2100,Americas,countries,-1.553511539,-7.573936371,15.32374053,-15.66789202,38.81028995,10,60,9.94E-07,,,,,,,,,,,,,
Andaman and Nicobar Islands,ssp126,2041-2050,Asia,countries,-1.373013805,-0.773685976,2.857097914,-6.889111718,2.526684201,10,70,0.040963941,TRUE,TRUE,,,,,,,,,,,
Benin,ssp126,2091-2100,Africa,countries,-1.359522884,-1.455322316,5.128931374,-7.817512227,6.449173936,10,60,2.75E-27,,,,,,,,,,,,,
United States Virgin Islands,ssp126,2091-2100,Americas,countries,-1.34329096,-2.068113979,7.807622327,-17.09878889,10.22883015,10,70,0.072706431,,,,,,,,,,,,,
Réunion,ssp126,2091-2100,Africa,countries,-1.242957018,-0.725072131,13.07270326,-24.96132096,17.3632706,10,50,0.772166963,,,,,,,,,,,,,
