Country_FAO,scenario,decade,mean,median,sd,min,max,n_model,agreement,wilcox_p,spatial_scale
Bahamas,ssp585,2091-2100,-6.23481372205867,-5.88769775469648,12.3412882941282,-30.3696805839704,14.4293705387757,10,80,1.38879197615715e-07,countries_admin
Bahrain,ssp126,2041-2050,-15.7743032576626,-15.4927193920699,2.89733726034364,-19.3103370867685,-12.8014371597422,4,100,0.0061882788229202,countries_admin
Bahrain,ssp126,2091-2100,-15.2602672655762,-16.501062134115,4.87645462268253,-19.3762014047305,-8.66274338934417,4,100,8.65837560002423e-12,countries_admin
Bahrain,ssp585,2041-2050,-19.4462167178504,-18.8856252801725,2.27012832940318,-22.524338273695,-17.4892780373616,4,100,0.0061882788229202,countries_admin
Bahrain,ssp585,2091-2100,-34.7483277958032,-37.4960164088305,7.42784608965228,-40.0521195435338,-23.9491588220179,4,100,8.65837560002423e-12,countries_admin
Bangladesh,ssp126,2041-2050,-4.41636195276414,-5.06959670591329,3.73533613183047,-10.5723797312643,0.403121511849131,10,90,0.149070863037356,countries_admin
Bangladesh,ssp126,2091-2100,-1.7018280394856,-0.954407998109531,2.66591545015374,-6.51030410967711,1.60314408385287,10,80,1.70250265849816e-18,countries_admin
Bangladesh,ssp585,2041-2050,-3.33153920871611,-3.57681001758854,3.72432712080554,-8.35751792910469,2.9367425710228,10,80,0.149070863037356,countries_admin
Bangladesh,ssp585,2091-2100,-11.6089955985637,-11.6581435138316,8.47863694554505,-24.7736522792555,5.18332702206198,10,90,1.70250265849816e-18,countries_admin
Barbados,ssp126,2041-2050,-9.58850216589408,-10.1719714996728,5.17525531836747,-18.6148095333068,-0.577272691552956,10,100,0.199997927108229,countries_admin
Barbados,ssp126,2091-2100,-6.77468257789904,-7.61940117002569,4.03839230267683,-12.7314412837447,0.535601437442414,10,90,0.00034577944484605,countries_admin
Barbados,ssp585,2041-2050,-11.3974812077359,-12.7727526718188,6.42690439037058,-17.7704543262599,0.635912052865066,10,90,0.199997927108229,countries_admin
Barbados,ssp585,2091-2100,-11.1190796957413,-8.5087855969719,13.2683852446446,-25.8894222392959,16.7280358567242,10,90,0.00034577944484605,countries_admin
Belgium,ssp126,2041-2050,-3.94937866807449,-3.24470446258746,6.05211886644403,-16.4244749125362,4.62328568293671,8,87.5,0.00471848032346515,countries_admin
Belgium,ssp126,2091-2100,-9.34445284390044,-13.5445443229996,11.7839910164037,-26.441081881158,5.53084967068414,8,62.5,6.48384498114266e-05,countries_admin
Belgium,ssp585,2041-2050,-9.48824378351595,-7.80729762980929,8.71064204036746,-20.8735989999864,2.55745131482167,8,87.5,0.00471848032346515,countries_admin
Belgium,ssp585,2091-2100,-20.5752002055221,-21.4438098650534,16.2332326975469,-47.7730976795122,-0.777338451366191,8,100,6.48384498114266e-05,countries_admin
Belize,ssp126,2041-2050,-4.1448581266408,-0.876024484699504,9.5600316698366,-18.6611202984966,7.71478245567364,10,60,0.0621070232660506,countries_admin
Belize,ssp126,2091-2100,-1.75320365139931,-0.788056137071945,9.27268284359712,-15.6953321133638,11.2781192280945,10,50,0.25232108640734,countries_admin
Belize,ssp585,2041-2050,-6.52340256968044,-3.97648093914803,9.62452161557593,-21.4253543970273,4.08158379735787,10,70,0.0621070232660506,countries_admin
Belize,ssp585,2091-2100,-5.41112946315327,-5.39408208371181,21.1811044191282,-35.7444253159696,25.98200886032,10,60,0.25232108640734,countries_admin
Benin,ssp126,2041-2050,-7.5878063460465,-8.79755359239036,3.57265204294056,-13.0370666934868,-1.3813282389949,10,100,3.4228972353771e-06,countries_admin
Benin,ssp126,2091-2100,-1.35952288359319,-1.45532231648397,5.12893137417883,-7.81751222676322,6.44917393648353,10,60,2.75128316369093e-27,countries_admin
Benin,ssp585,2041-2050,-13.2665880463702,-16.3369027714509,8.16091716854976,-24.5456958065106,-1.54989952830636,10,100,3.4228972353771e-06,countries_admin
Benin,ssp585,2091-2100,-21.9223414390478,-22.5697558582807,9.34240882662114,-34.7102225566011,-4.63086420784112,10,100,2.75128316369093e-27,countries_admin
Brazil,ssp126,2041-2050,-6.08185884185079,-6.30039285124115,1.71257030193161,-8.88724091622302,-2.42737833001738,10,100,0.325379111627523,countries_admin
Brazil,ssp126,2091-2100,-2.29918906427964,-2.00067640882086,3.12587202488277,-7.32763523496866,1.91540639138674,10,70,2.41664343491059e-20,countries_admin
Brazil,ssp585,2041-2050,-6.94941894514115,-6.92525869076214,2.43199715371005,-11.8014455216935,-3.02693019128194,10,100,0.325379111627523,countries_admin
Brazil,ssp585,2091-2100,-15.6596679737975,-15.5028672879714,8.61107558585292,-27.1347258185955,-1.6583194986865,10,100,2.41664343491059e-20,countries_admin
Brunei Darussalam,ssp126,2041-2050,-7.80739237922352,-8.0252823804438,3.03256479194662,-12.1723990036496,-3.94351359201182,10,100,0.000444126672717653,countries_admin
Brunei Darussalam,ssp126,2091-2100,-8.64308415695129,-8.83753388501143,2.30817400628889,-11.2416684180642,-4.21858148612098,10,100,2.05122893331196e-27,countries_admin
Brunei Darussalam,ssp585,2041-2050,-10.2670601264307,-11.7700182210436,4.69133619657374,-14.4830177139342,0.619811623916243,10,90,0.000444126672717653,countries_admin
