MEMs,LME NAME,GFDL-ESM2M CMIP5,GFDL-ESM4 CMIP6,GFDL difference,IPSL_CM5A-LR CMIP5,IPSL_CM6A_LR CMIP6,IPSL difference
ecoocean,Northeast U.S. Continental Shelf,-0.770578996,-0.606593001,0.163985995,-0.757373289,-0.546242714,0.211130574
ecoocean,Yellow Sea,0.721020195,0.875640459,0.154620264,0.45238387,0.935107455,0.482723586
ecoocean,Bay of Bengal,0.733674259,0.887300747,0.153626488,0.910942864,0.899494971,-0.011447893
ecoocean,East China Sea,0.783044788,0.919521067,0.136476279,0.765303993,0.877208576,0.111904583
ecoocean,Pacific Central-American Coastal,0.593901155,0.716553042,0.122651887,0.651957959,0.73553403,0.083576071
ecoocean,Agulhas Current,-0.069791988,0.047107516,0.116899505,0.036444394,0.059801898,0.023357503
ecoocean,Indonesian Sea,0.737213906,0.853868943,0.116655037,0.859459026,0.894574792,0.035115765
ecoocean,Iceland Shelf and Sea,0.383289758,0.490618925,0.107329167,0.16869247,0.539093829,0.370401359
ecoocean,South China Sea,0.830275386,0.923313056,0.093037671,0.87365461,0.94187706,0.06822245
ecoocean,Red Sea,0.713611022,0.787008651,0.073397628,-0.114110762,0.547950223,0.662060986
ecoocean,Arabian Sea,0.885935307,0.955851018,0.06991571,0.859103721,0.972233391,0.11312967
ecoocean,West Bering Sea,0.768251694,0.835625778,0.067374084,0.755088617,0.840088582,0.084999966
ecoocean,New Zealand Shelf,0.904822356,0.915348272,0.010525916,0.917723339,0.924372775,0.006649435
ecoocean,Patagonian Shelf,0.862084953,0.851548682,-0.010536271,0.839282305,0.837583563,-0.001698742
ecoocean,Southeast U.S. Continental Shelf,-0.712670108,-0.735922615,-0.023252507,-0.739374041,-0.71146771,0.027906331
ecoocean,Guinea Current,0.908972318,0.880325897,-0.028646421,0.885847905,0.849158936,-0.036688969
ecoocean,Humboldt Current,0.665336409,0.607375399,-0.057961009,0.693648511,0.578579107,-0.115069404
ecoocean,Labrador - Newfoundland,-0.364439795,-0.621011201,-0.256571406,-0.417959742,-0.343834026,0.074125716
ecoocean,Canadian High Arctic - North Greenland,-0.028706231,-0.487292223,-0.458585992,-0.059511225,-0.399650181,-0.340138956
ecoocean,Kara Sea,0.638340134,-0.075907587,-0.71424772,0.6884356,-0.001176599,-0.689612199
ecoocean,Canadian Eastern Arctic - West Greenland,0.448999199,-0.309765718,-0.758764917,0.394282877,-0.296572549,-0.690855426
