ID_mrgd,continent,Country_FAO,fao_official
8444,Oceania,United States of America,American Samoa
48957,Oceania,United States of America,Guam
8451,Oceania,United States of America,the United States Minor Outlying Islands
8442,Oceania,United States of America,the United States Minor Outlying Islands
8452,Oceania,United States of America,the United States Minor Outlying Islands
48980,Oceania,United States of America,the Commonwealth of the Northern Mariana Islands
8443,Oceania,United States of America,the United States Minor Outlying Islands
33179,Americas,United States of America,the Commonwealth of Puerto Rico
8456,Americas,United States of America,the United States of America
8463,Americas,United States of America,the United States of America
8453,Americas,United States of America,the United States of America
33180,Americas,United States of America,the United States Virgin Islands
8319,Oceania,United States of America,the United States Minor Outlying Islands
8467,Americas,Uruguay,the Eastern Republic of Uruguay
8313,Oceania,Vanuatu,the Republic of Vanuatu
8433,Americas,"Venezuela, Boliv Rep of",the Bolivarian Republic of Venezuela
8484,Asia,Viet Nam,the Socialist Republic of Viet Nam
8353,Asia,Yemen,the Republic of Yemen
