"","O_name_En_Website","Short_name_En_Website","Country_name","Continent_name","Continent_ID","ISO3_country","ISO3_territory","O_Name_En_Emmanuel","O_Name_En_Stefania","Romname_Emmanuel","Maplab_Emmanuel","Short_name_En_Website2"
"54","the Republic of the Congo","Congo (the)","Congo","Africa","AFR","COG","COG","the Republic of the Congo","the Republic of the Congo","Congo","Congo","Congo"
"55","the Democratic Republic of the Congo","Democratic Republic of the Congo (the)","Congo, Dem. Rep. of the","Africa","AFR","COD","COD","the Democratic Republic of the Congo","the Democratic Republic of the Congo","Democratic Republic of the Congo","Democratic Republic of the Congo","Democratic Republic of the Congo"
"56","the Republic of Costa Rica","Costa Rica","Costa Rica","America","AME","CRI","CRI","the Republic of Costa Rica","the Republic of Costa Rica","Costa Rica","Costa Rica","Costa Rica"
"57",NA,NA,"Cote dIvoire","Africa","AFR","CIV","CIV","the Republic of C�te d'Ivoire",NA,"Cote dIvoire","C�te d'Ivoire",NA
"58","the Republic of Croatia","Croatia","Croatia","Europe","EUR","HRV","HRV","the Republic of Croatia","the Republic of Croatia","Croatia","Croatia","Croatia"
"59","the Republic of Cuba","Cuba","Cuba","America","AME","CUB","CUB","the Republic of Cuba","the Republic of Cuba","Cuba","Cuba","Cuba"
"60","the Republic of Cyprus","Cyprus","Cyprus","Europe","EUR","CYP","CYP","the Republic of Cyprus","the Republic of Cyprus","Cyprus","Cyprus","Cyprus"
"61","the Czech Republic","Czechia","Czechia","Europe","EUR","CZE","CZE","the Czech Republic","the Czech Republic","Czechia","Czechia","Czechia"
"62","Greenland","Greenland","Denmark","--","--","DNK","GRL","Greenland","Greenland","Greenland","Greenland (Denmark)","Greenland"
"63","the Kingdom of Denmark","Denmark","Denmark","Europe","EUR","DNK","DNK","the Kingdom of Denmark","the Kingdom of Denmark","Denmark","Denmark","Denmark"
"64",NA,NA,"Denmark","Europe","EUR","DNK","FRO","Faroe Islands",NA,"Faroe Islands","Faroe Islands (Denmark)",NA
"65","the Republic of Djibouti","Djibouti","Djibouti","Africa","AFR","DJI","DJI","the Republic of Djibouti","the Republic of Djibouti","Djibouti","Djibouti","Djibouti"
"66","the Commonwealth of Dominica","Dominica","Dominica","America","AME","DMA","DMA","the Commonwealth of Dominica","the Commonwealth of Dominica","Dominica","Dominica","Dominica"
"67","the Dominican Republic","Dominican Republic (the)","Dominican Republic","America","AME","DOM","DOM","the Dominican Republic","the Dominican Republic","Dominican Republic","Dominican Republic","Dominican Republic"
"68","the Republic of Ecuador","Ecuador","Ecuador","America","AME","ECU","ECU","the Republic of Ecuador","the Republic of Ecuador","Ecuador","Ecuador","Ecuador"
